Address,School of Economics and Development Legon,School of Engineering Legon,School of performing Arts new building legon,Univiersity of Ghana Business School Legon,Faculty of Arts Legon,School of information and communication studies Legon,School of Agriculture Legon,School of Engineering Sciences Legon,School of Nursing and Midwifery Legon,School of Law Legon,School of Pharmacy Legon,School of Social Sciences Legon,School of Vetenary Medicine Legon,School of Graduate Studies Legon,School of Languages Legon,School of continuing and distance education Legon,Commonwealth Hall Legon,The Great Hall Legon,ISSER Conference Hall Legon,Cedi Conference Centre Legon,Legon Hall Legon,Jubliee Hall Legon,Legon Hall Annex A Legon,Legon Hall Annex B Legon,Legon Hall Annex C Legon,Akuafo Hall Legon,Akuafo Hall Annex A Legon,Akuafo Hall Annex B Legon,Akuafo Hall Annex C Legon,Mensah Sarbah Legon,Mensah Sarbah Annex C Legon,Volta Hall Legon,Liman Hall Legon,Kwapong Hall Legon,Jean Nelson Legon,Frances Sey Legon,Pentagon Block A Legon,Pentagon Block B Legon,Pentagon Block C Legon,Union Hostel Legon,Jubliee Hall Legon,Valco Trust Hostel Legon,International Student Hostel Legon,International Student Hostel 2 Legon,Bani Hostel Legon,Evandy Hostel Legon,Teachers Fund Hostel Legon,Addis-Ababa Court Legon,Kampala Court Legon,Nairobi Court Legon,University of Ghana Hospital Legon,University of Ghana Teaching Hospital Legon,University Hospital Legon,College of Humanities Legon,College of Basic And Applied Sciences Legon,College of Education Legon,Department of Computer Science Legon,Department of Economics Legon,Department of Geography and Resource Development Legon,Department of Animal Biology and Conservation Science Legon,Department of History Legon,Department of Adult Education and Human Resource Studies Legon,Department of Political Science Legon,Department of Economics Conference Facility Legon,Department of English Legon,Department of Psychology Legon,Department of Animal Science Legon,Department of Soil Science Legon,Department of Physics Legon,Sociology Department Legon,Chemistry Department Legon,Department of Agriculture Economics and Agribusiness Legon,Department of Family and Consumer Science Legon,Department of Philosophy and Classics Legon,Department for the Study of Religions Legon,Department of Mathematics and Statistics Legon,Department of Educational Studies and Leadership Legon,Department of Music Legon,Department of Crop Science Legon,Department of Earth Science Legon,Department of Botany Legon,Department of Linguistics Legon,Department of Nutritionn and Food Science Legon,Department of Archaeology Legon,Department of Animal Science Legon,Department of Biochemistry Legon,Department of Marine and Fisheries Sciences Legon,Conficius Institue Legon,Institute of Applied Sciece & Technology Legon,Institute of African studies Legon,New Institute of African Studies Legon,Institute of Statistical Social and Economic Research Legon,Maison Francaise Legon,GCB Lecture Building Legon,JQB Legon,K.A. Busia building Legon,Student Representative Council Builidng Legon,New N Block Legon,N Block Legon,Athletic Oval Legon,Sarbah Field Legon,University Basic School Legon,Balme Library Legon,Night Market Legon,UG Banking Square Legon,University of Ghana Sports Stadium Legon,University of Ghana Registry Legon,Bush Canteen Legon,Central Mosque Legon,University of Ghana Swimming Pool Legon,Taxi Station Legon,University of Ghana Sports Directorate Legon,Ayax Park Legon,Ajax 2 Legon,Bank of Ghana Audiotorium Legon,International Programmes Office Legon,University of Ghana Bookshop Legon,Caregie Writing Centre Legon,Basketball courts Legon,Recreational Quandrangle Legon
Akuafo Hall Annex B Legon,0.594658514,1.066809059,0.542694397,1.570300142,0.514528251,0.718913726,0.415649345,0.974802004,0.897329971,0.852607768,0.884460194,0.925189208,0.493158971,0.907879847,0.50654818,0.667313215,0.767451085,1.249001945,0.936501697,0.592591295,0.459036364,0.73403509,0.330040959,0.312130197,0.367485441,0.39129674,0.112818265,0,0.067147325,0.158041112,0.172425321,0.707288412,1.069266784,1.074931043,1.34279938,8.996980562,1.397600586,1.397600586,1.3813776,2.233537473,0.73403509,0.323274755,0.767488324,0.683735383,1.913861294,4.810436995,2.193837206,1.118531968,1.15288262,1.206981796,0.440698441,0.599668483,0.966175225,0.663670968,0.422546482,0.800107983,0.868478819,0.511310781,0.5200341,0.778366555,0.567038446,0.708604527,0.892669124,0.595447365,0.591576316,0.919798985,0.438408496,0.388566441,0.51004825,0.60222441,0.673735465,0.395878693,0.403452252,0.536445027,0.557014849,0.783734605,0.819112955,0.601754463,0.370724386,0.476887696,0.771984045,0.503791919,0.831692562,0.745165107,0.438408496,0.976357682,0.819025287,0.484682289,0.682440141,0.567127367,0.567127367,0.854741662,0.341606311,0.953272145,0.721698311,0.732069485,0.225854122,1.044908404,1.044908404,0.221173843,0.345141751,0.54004537,0.589917604,0.562431575,0.462118026,1.072581049,1.143542686,0.525846179,0.62565026,0.878698558,0.992023894,0.92321899,0.775478377,0.775478377,0.592591295,0.840739253,0.470262288,0.447301931,1.305879467,0.69140464
Akuafo Hall Annex C Legon,0.55647212,1.00033987,0.482475748,1.504452513,0.480034221,0.65546492,0.348944999,0.90807917,0.863608827,0.78582578,0.84338054,0.870930191,0.429330982,0.878851282,0.505217201,0.606972161,0.759558291,1.255553554,0.871526096,0.555347401,0.435788797,0.798160349,0.339966545,0.344203608,0.39067529,0.331477389,0.056277572,0.067147325,0,0.201701704,0.231911609,0.681152595,1.129151819,1.138215852,1.409043348,9.054670913,1.33099191,1.33099191,1.314251192,2.251037625,0.798160349,0.390421848,0.827974756,0.616627292,1.846849864,4.872953006,2.128515373,1.051523149,1.085763124,1.140019222,0.447293843,0.541874174,0.914233429,0.596524939,0.356099304,0.733514965,0.802607146,0.469572358,0.453346338,0.724952307,0.550537394,0.646554875,0.834732363,0.558167838,0.575532296,0.863175935,0.3743396,0.322581942,0.452444584,0.59316952,0.612415444,0.330606269,0.336340221,0.501348503,0.525627058,0.718768497,0.75388187,0.553229021,0.304631696,0.409876901,0.713616411,0.50302548,0.788897326,0.681302243,0.3743396,0.933922516,0.773986633,0.489182357,0.623615207,0.516227147,0.516227147,0.789845216,0.315029265,0.904503732,0.655930813,0.664928199,0.257935897,0.9926638,0.9926638,0.209958688,0.393063099,0.606905435,0.539290801,0.625344609,0.525099743,1.108148951,1.151192121,0.487027283,0.682873643,0.925303899,1.015389793,0.96487986,0.794855059,0.794855059,0.555347401,0.773840574,0.419579573,0.396199394,1.372355023,0.639368743
Mensah Sarbah Legon,0.558459209,1.140158404,0.680083477,1.681856755,0.472883113,0.846179996,0.527635538,1.052835615,0.839776227,0.93300361,0.847130966,0.930384573,0.620688602,0.838497798,0.391575153,0.803935752,0.656607624,1.111612275,0.996143639,0.553908356,0.393364615,0.712974734,0.206710408,0.157647769,0.220545644,0.439874785,0.209612744,0.158041112,0.201701704,0,0.235093272,0.635917425,1.069517444,1.054231292,1.291392454,8.995729313,1.47080412,1.47080412,1.467808262,2.08341224,0.712974734,0.274506855,0.769873782,0.782553047,1.993562321,4.784723265,2.249385866,1.201487114,1.240024768,1.30609608,0.314987859,0.627867119,1.11590537,0.759698535,0.537000932,0.907714419,0.937036153,0.489836398,0.629956296,0.7835577,0.479408543,0.840573625,0.913548796,0.55672316,0.501888291,0.934560528,0.565674944,0.471400724,0.541603385,0.497916902,0.715659045,0.518622917,0.508140214,0.495021201,0.50477195,0.845626529,0.937541666,0.754505051,0.45553715,0.569406191,0.797314269,0.387917881,0.800560237,0.870671172,0.565674944,0.941211348,0.794977765,0.360429308,0.712225711,0.717888408,0.717888408,0.914905708,0.297336521,0.938337764,0.837371681,0.827937553,0.076200677,1.040600914,1.040600914,0.170663431,0.191402338,0.461297751,0.591740436,0.556553884,0.461267467,1.15451115,1.00524924,0.683101306,0.648709782,0.934086958,1.099527597,0.991918324,0.892092425,0.892092425,0.553908356,0.943486735,0.479151362,0.459298397,1.251210857,0.694141949
Mensah Sarbah Annex C Legon,0.758817005,1.225748914,0.652660418,1.699556165,0.676257379,0.838919251,0.561005171,1.132058947,1.05551782,1.009630915,1.049715735,1.097485302,0.619597865,1.060681135,0.626379375,0.774489404,0.891460309,1.33954009,1.10149806,0.755980538,0.610504122,0.56866299,0.441572798,0.379930738,0.449424081,0.562629828,0.284065086,0.172425321,0.231911609,0.235093272,0,0.858219131,0.897543457,0.907219727,1.185722598,8.824619343,1.555178426,1.555178426,1.531694689,2.293128164,0.56866299,0.200739125,0.596134698,0.831880361,2.0665575,4.641227522,2.35730958,1.272259897,1.303934554,1.349386789,0.550009927,0.771843272,1.03660553,0.814029287,0.565552862,0.939602369,1.030671608,0.678645904,0.663427366,0.950551851,0.707814364,0.822209587,1.064872253,0.758845704,0.731216443,1.092199315,0.56757474,0.551650298,0.682231986,0.731435678,0.8442445,0.532257225,0.554684143,0.698471132,0.715369174,0.948888135,0.947819118,0.670358324,0.533525966,0.633184633,0.944055342,0.622795268,0.998454186,0.866894258,0.56757474,1.142491506,0.987404623,0.59545247,0.854342706,0.64454054,0.64454054,1.020006138,0.499491318,1.123657365,0.855016616,0.881469821,0.309508652,1.216697997,1.216697997,0.371118882,0.359965777,0.418011227,0.761500366,0.394397361,0.294479143,0.922420326,1.23283575,0.570064101,0.45324209,0.713707845,0.864880478,0.764531591,0.660310244,0.660310244,0.755980538,0.98367587,0.642041887,0.619227789,1.150664092,0.863310364
Volta Hall Legon,0.175645768,0.899579088,0.885520218,1.553752899,0.213559691,0.942949805,0.691134859,0.852524848,0.210902039,0.776436379,0.262064668,0.468579728,0.79947233,0.202739099,0.292690332,0.966363145,0.216033011,0.722897854,0.730945198,0.168961686,0.248536047,1.32408097,0.444694506,0.553310089,0.49170231,0.478079217,0.629175732,0.707288412,0.681152595,0.635917425,0.858219131,0,1.689283958,1.655683544,1.842537609,9.593589702,1.179259901,1.179259901,1.235524083,1.748855726,1.32408097,0.894502725,1.395568796,0.762155878,1.68816281,5.34940209,1.837422411,0.992057802,1.043122274,1.156159304,0.371140178,0.412824237,1.316108218,0.73647562,0.704053728,0.885134589,0.727469428,0.25778406,0.727362835,0.375686225,0.165151045,0.96538283,0.516363095,0.167442749,0.149780154,0.507401395,0.768978268,0.578582038,0.417174055,0.195452794,0.492633739,0.728330306,0.658218466,0.19728105,0.162020931,0.64040013,0.961602376,1.047590923,0.582734838,0.634390041,0.463564766,0.297601506,0.24666411,0.950863393,0.768978268,0.348383584,0.2684555,0.339772185,0.44302162,1.001226938,1.001226938,0.676843199,0.366687493,0.404430498,0.876387384,0.776753826,0.576417432,0.522465206,0.522465206,0.488576298,0.65583109,1.025122032,0.310256677,1.1827862,1.092171928,1.778220803,0.641421508,1.05128873,1.283265631,1.568848567,1.696336356,1.622731347,1.475923891,1.475923891,0.168961686,0.886911865,0.353846145,0.36951163,1.797758455,0.328749171
Liman Hall Legon,1.627906329,2.104246593,1.465241759,2.495657803,1.542225485,1.65226271,1.433655476,2.008351609,1.898840996,1.887152239,1.915384564,1.99059165,1.462300117,1.887481652,1.408582457,1.568093897,1.648856043,1.942649516,1.991695277,1.623197977,1.458409517,0.367059209,1.244881868,1.136919393,1.202611266,1.460169442,1.181540899,1.069266784,1.129151819,1.069517444,0.897543457,1.689283958,0,0.141821316,0.465019884,7.929594006,2.42778289,2.42778289,2.387423,2.690824174,0.367059209,0.797826693,0.302108199,1.697868225,2.922641252,3.749066181,3.240091127,2.139502889,2.164853418,2.189339143,1.32531778,1.668846396,1.710458191,1.68422669,1.435068216,1.785894206,1.91681723,1.557740746,1.528469425,1.843157739,1.525077466,1.624048855,1.961755621,1.625999366,1.543755961,1.988048881,1.418736694,1.443850595,1.579235645,1.519844941,1.741526911,1.395657386,1.434521376,1.564292438,1.571952544,1.840114306,1.771815831,1.401129177,1.425710673,1.516630669,1.841219639,1.403857015,1.869913876,1.681625258,1.418736694,2.009587403,1.864399825,1.364472798,1.751702741,1.398410561,1.398410561,1.911015598,1.366664783,2.006815398,1.693312268,1.748156787,1.117250198,2.106052557,2.106052557,1.238012041,1.040751109,0.685487997,1.651957091,0.513459485,0.611607982,0.587276899,1.843808859,1.275916641,0.450319528,0.385467167,0.771294351,0.463379071,0.795426348,0.795426348,1.623197977,1.835148068,1.534013719,1.511892872,0.462845377,1.754646088
Kwapong Hall Legon,1.608450377,2.129558026,1.509445225,2.551468337,1.522644169,1.698466722,1.459580527,2.034713007,1.866454634,1.912587475,1.891404364,1.983706962,1.498638058,1.849972073,1.368670901,1.618019718,1.597972598,1.859527885,2.008658366,1.603005939,1.433934223,0.342449424,1.21489748,1.102866596,1.164491858,1.465314144,1.18770645,1.074931043,1.138215852,1.054231292,0.907219727,1.655683544,0.141821316,0,0.346250014,7.943520038,2.45683243,2.45683243,2.424101862,2.575422408,0.342449424,0.779740149,0.325182079,1.728033098,2.960183165,3.735938277,3.263490527,2.170635688,2.198822267,2.23118575,1.28655293,1.670050592,1.784551089,1.712549315,1.462264984,1.82372478,1.936989904,1.543864321,1.558047425,1.836468826,1.490566418,1.672752447,1.961400241,1.605744515,1.507647565,1.985177061,1.45208684,1.458801662,1.580895189,1.47846846,1.748193884,1.424785719,1.457230085,1.544330163,1.548385564,1.856090745,1.816251439,1.460540879,1.440663806,1.537771293,1.842254247,1.363835842,1.848997398,1.727759253,1.45208684,1.985465088,1.846345511,1.323135622,1.753964209,1.453633722,1.453633722,1.927208396,1.350574808,1.991408682,1.733041165,1.778260808,1.093876513,2.09481241,2.09481241,1.224783447,1.000500334,0.633477005,1.644496831,0.512904587,0.613116182,0.724025822,1.763409575,1.336378919,0.486153063,0.501712558,0.898265983,0.588270545,0.901027558,0.901027558,1.603005939,1.871485161,1.52889472,1.507626985,0.335679044,1.747222271
Jean Nelson Legon,1.823407123,2.409331055,1.817105874,2.866041712,1.739122226,2.006750563,1.746610885,2.316595327,2.051850302,2.194198746,2.093026041,2.215201606,1.797727856,2.025053681,1.549872512,1.930734485,1.749073496,1.920622733,2.277641715,1.816725039,1.643497281,0.625796429,1.420588392,1.305136207,1.356385506,1.723670365,1.453289196,1.34279938,1.409043348,1.291392454,1.185722598,1.842537609,0.465019884,0.346250014,0,7.760722695,2.739719447,2.739719447,2.717126687,2.511346736,0.625796429,1.025699231,0.650214323,2.017421078,3.252248786,3.507506752,3.535041651,2.457905286,2.489576257,2.531444214,1.472715964,1.919056494,2.117391336,1.999750018,1.750850722,2.121676278,2.211179652,1.770020396,1.848435957,2.070174195,1.679364549,1.983839082,2.204128283,1.81929481,1.692794653,2.223464753,1.748230476,1.731365544,1.831988323,1.653482034,2.00461937,1.7162307,1.740190346,1.759659099,1.756994404,2.125094946,2.121813762,1.783220758,1.71351547,1.81759214,2.088656842,1.544959281,2.057089848,2.035764116,1.748230476,2.185443372,2.059799444,1.502827491,2.003463262,1.772632827,1.772632827,2.195822986,1.577226605,2.207697651,2.033895669,2.06711577,1.315923003,2.317380118,2.317380118,1.459680102,1.195604232,0.83400035,1.879789138,0.801167647,0.896059396,1.047617014,1.834677032,1.660803969,0.80835679,0.845392031,1.236291403,0.927775867,1.247273956,1.247273956,1.816725039,2.167299735,1.770080353,1.75058975,0.047948209,1.980954937
Frances Sey Legon,9.551854378,9.987705959,9.314884813,10.21915077,9.466025763,9.483302532,9.332633079,9.891203318,9.804346553,9.775493117,9.834415184,9.920163527,9.335864228,9.782030776,9.302536721,9.390032689,9.509774948,9.625244032,9.897202971,9.546482861,9.377264341,8.28300168,9.157149556,9.043788745,9.102236704,9.386086823,9.108393617,8.996980562,9.054670913,8.995729313,8.824619343,9.593589702,7.929594006,7.943520038,7.760722695,0,10.29118674,10.29118674,10.22199611,9.870288645,8.28300168,8.721562442,8.23162117,9.579200395,10.7335462,4.321333398,11.10700272,10.00393864,10.0183859,10.00946185,9.222503931,9.596320889,9.387667526,9.570736843,9.33144869,9.640561513,9.816915839,9.485439266,9.416732852,9.772740938,9.428699197,9.447011291,9.889320962,9.54922683,9.444190463,9.916749694,9.301839201,9.360379342,9.506745988,9.40921402,9.664565849,9.289213037,9.339468699,9.487767007,9.491765527,9.749615544,9.602711265,9.197281679,9.342485023,9.422559384,9.768280156,9.29763421,9.792510907,9.511125581,9.301839201,9.928336206,9.789633503,9.255923732,9.678272945,9.212459686,9.212459686,9.819139803,9.292896062,9.934023135,9.545756677,9.628044779,9.037382957,10.0351872,10.0351872,9.165603205,8.938332651,8.568928414,9.581525679,8.442375336,8.541129018,8.07198979,9.553960661,9.080370736,8.371841541,8.159326596,8.268479924,8.150891336,8.463387509,8.463387509,9.546482861,9.692809318,9.463575291,9.441388591,7.807225387,9.684232154
Pentagon Block A Legon,1.069053198,0.331235046,0.978558215,0.497843107,1.126732043,0.808259959,0.997265997,0.423166177,1.084671701,0.545596134,0.970001954,0.721733762,0.967697073,1.155657337,1.383808396,0.901947124,1.392487001,1.824697141,0.481783322,1.078821473,1.223470021,2.122886801,1.411659085,1.514431241,1.495383132,1.031443629,1.288788828,1.397600586,1.33099191,1.47080412,1.555178426,1.179259901,2.42778289,2.45683243,2.739719447,10.29118674,0,0,0.138942834,2.779124108,2.122886801,1.718786509,2.135840953,0.729961919,0.525863347,6.173617143,0.817750211,0.289431208,0.273220539,0.317454263,1.422473276,0.870078823,0.990735845,0.744428836,0.994636159,0.6517167,0.533784972,1.069493487,0.899654319,0.806565988,1.270576596,0.845364582,0.662902892,1.077630666,1.276047321,0.675138614,1.009263271,1.009601941,0.943435695,1.339917704,0.771270594,1.032809228,1.000772969,1.115080792,1.141862217,0.626744313,0.689925804,1.096372518,1.027221883,0.922219562,0.733903407,1.387389212,0.950928691,0.780821838,1.009263271,0.940214873,0.919517395,1.420731305,0.79407618,1.079070775,1.079070775,0.559951498,1.230032664,0.823112911,0.746619654,0.679661559,1.469418786,0.729845579,0.729845579,1.317883352,1.619009172,1.928082667,0.948522135,1.947156175,1.84847159,2.220676476,1.771312003,1.211080144,1.978908688,2.143036231,2.034050361,2.142972388,1.830023054,1.830023054,1.078821473,0.59991478,1.024417575,1.037241589,2.703324342,0.873536464
Pentagon Block B Legon,1.069053198,0.331235046,0.978558215,0.497843107,1.126732043,0.808259959,0.997265997,0.423166177,1.084671701,0.545596134,0.970001954,0.721733762,0.967697073,1.155657337,1.383808396,0.901947124,1.392487001,1.824697141,0.481783322,1.078821473,1.223470021,2.122886801,1.411659085,1.514431241,1.495383132,1.031443629,1.288788828,1.397600586,1.33099191,1.47080412,1.555178426,1.179259901,2.42778289,2.45683243,2.739719447,10.29118674,0,0,0.138942834,2.779124108,2.122886801,1.718786509,2.135840953,0.729961919,0.525863347,6.173617143,0.817750211,0.289431208,0.273220539,0.317454263,1.422473276,0.870078823,0.990735845,0.744428836,0.994636159,0.6517167,0.533784972,1.069493487,0.899654319,0.806565988,1.270576596,0.845364582,0.662902892,1.077630666,1.276047321,0.675138614,1.009263271,1.009601941,0.943435695,1.339917704,0.771270594,1.032809228,1.000772969,1.115080792,1.141862217,0.626744313,0.689925804,1.096372518,1.027221883,0.922219562,0.733903407,1.387389212,0.950928691,0.780821838,1.009263271,0.940214873,0.919517395,1.420731305,0.79407618,1.079070775,1.079070775,0.559951498,1.230032664,0.823112911,0.746619654,0.679661559,1.469418786,0.729845579,0.729845579,1.317883352,1.619009172,1.928082667,0.948522135,1.947156175,1.84847159,2.220676476,1.771312003,1.211080144,1.978908688,2.143036231,2.034050361,2.142972388,1.830023054,1.830023054,1.078821473,0.59991478,1.024417575,1.037241589,2.703324342,0.873536464
Pentagon Block C Legon,1.110543136,0.343336023,0.924957698,0.370914947,1.160200936,0.744290381,0.970699356,0.418156879,1.1611755,0.535136655,1.045036872,0.794757555,0.925915842,1.232458748,1.417911479,0.835556618,1.451104709,1.905063602,0.511003813,1.120415601,1.253094456,2.095284955,1.427946208,1.525311282,1.512715433,1.033638488,1.276229692,1.3813776,1.314251192,1.467808262,1.531694689,1.235524083,2.387423,2.424101862,2.717126687,10.22199611,0.138942834,0.138942834,0,2.8762527,2.095284955,1.704558038,2.100591799,0.699818777,0.536089588,6.125733108,0.887704252,0.267046082,0.228540105,0.214241731,1.449326304,0.893722894,0.88330184,0.718284873,0.966280877,0.60153287,0.543114887,1.099625193,0.868740836,0.859838116,1.312030914,0.778209456,0.724400598,1.119547143,1.319974913,0.743655706,0.972057297,0.998491897,0.958538573,1.384131457,0.793613454,1.001326934,0.9787523,1.150874687,1.181008913,0.639891169,0.623436551,1.025519981,1.015347082,0.904930713,0.776834573,1.421152762,1.019283851,0.715526278,0.972057297,1.025619168,0.985424426,1.451884113,0.824620039,1.013266112,1.013266112,0.58042711,1.246239828,0.904446053,0.694459203,0.650376284,1.473620199,0.821596152,0.821596152,1.323196577,1.626300051,1.918515261,0.981260741,1.919002941,1.821878452,2.150162743,1.845979428,1.145009899,1.941608058,2.088134795,1.956378965,2.082125926,1.758715386,1.758715386,1.120415601,0.552762039,1.043812403,1.053909787,2.682358057,0.917132362
Union Hostel Legon,1.921938099,2.580103863,2.608872801,3.23344477,1.931071391,2.688936659,2.409535988,2.559151353,1.739037434,2.506206894,1.853105144,2.095803802,2.523941604,1.670466156,1.763108521,2.703716228,1.560230957,1.028416871,2.424834367,1.914045914,1.896062192,2.396104742,1.911265669,1.925835741,1.866130684,2.196781227,2.221628044,2.233537473,2.251037625,2.08341224,2.293128164,1.748855726,2.690824174,2.575422408,2.511346736,9.870288645,2.779124108,2.779124108,2.8762527,0,2.396104742,2.175669984,2.514228392,2.510980733,3.199746392,5.5542095,3.160420542,2.677366828,2.729119594,2.854484761,1.806796218,2.16118388,3.055846309,2.485331347,2.422907729,2.632272141,2.445767326,1.990902752,2.464565291,2.078540194,1.777033878,2.708742974,2.180567162,1.913028295,1.755053256,2.151038469,2.483906887,2.297311503,2.161636108,1.708019734,2.234661825,2.436966432,2.37642034,1.923839608,1.883358827,2.37049999,2.710201337,2.75183755,2.296188696,2.370355384,2.178260164,1.763943497,1.893546667,2.698339869,2.483906887,1.855098031,1.93128036,1.768164585,2.181796197,2.70668289,2.70668289,2.39135288,1.996777067,1.978701427,2.624964766,2.524162407,2.009561413,2.054669722,2.054669722,2.050703609,1.933899113,2.111700965,2.05908529,2.371941716,2.338460025,3.088952936,1.121047397,2.722077313,2.506557925,2.813762901,3.113892701,2.904458816,2.937504112,2.937504112,1.914045914,2.63035361,2.087328411,2.097314492,2.467430175,2.062409482
Jubliee Hall Legon,1.269197974,1.794057748,1.191312855,2.240458715,1.183358767,1.380959902,1.126417559,1.699971302,1.534159393,1.577596925,1.554311459,1.641591789,1.173087482,1.521388471,1.041832088,1.305219335,1.282141374,1.593983245,1.669567917,1.26403199,1.096675599,0,0.880427322,0.771028905,0.835970613,1.123600369,0.846642639,0.73403509,0.798160349,0.712974734,0.56866299,1.32408097,0.367059209,0.342449424,0.625796429,8.28300168,2.122886801,2.122886801,2.095284955,2.396104742,0,0.438593715,0.119776369,1.396526507,2.631093233,4.078048527,2.925918376,1.838497194,1.868544222,1.907043437,0.958674681,1.327721729,1.504717808,1.379874584,1.129921762,1.497649594,1.599314123,1.202810576,1.226858393,1.494291336,1.159488817,1.358126889,1.618959162,1.266797782,1.177779637,1.642756711,1.124352334,1.119938547,1.238632994,1.152978407,1.406517858,1.093993988,1.122129243,1.205211657,1.210814694,1.516843179,1.496224223,1.161678631,1.101850067,1.201514547,1.499876723,1.03709042,1.51050965,1.409982877,1.124352334,1.648500917,1.506765243,0.997550396,1.411694732,1.149114038,1.149114038,1.587940775,1.009938463,1.651058168,1.409046977,1.446530848,0.755572776,1.753451267,1.753451267,0.883282605,0.673759423,0.322716195,1.302342009,0.176296212,0.274461885,0.714180903,1.492728077,1.041021485,0.208522656,0.434883153,0.809424051,0.533227645,0.727804796,0.727804796,1.26403199,1.543992826,1.1865097,1.165201512,0.595325683,1.405099739
Valco Trust Hostel Legon,0.83107848,1.387646622,0.847533515,1.888728204,0.74526807,1.031137616,0.737964633,1.296579712,1.102750406,1.174647065,1.11762817,1.204374479,0.808162737,1.094921399,0.623270263,0.970650538,0.878627229,1.266961411,1.252382611,0.826096115,0.660604018,0.438593715,0.45009637,0.349033596,0.419567474,0.69800803,0.430003239,0.323274755,0.390421848,0.274506855,0.200739125,0.894502725,0.797826693,0.779740149,1.025699231,8.721562442,1.718786509,1.718786509,1.704558038,2.175669984,0.438593715,0,0.501206067,1.006911876,2.236551704,4.511642492,2.509509232,1.441280413,1.476040453,1.529639505,0.53992099,0.896086866,1.23729905,0.986944557,0.744272359,1.121710302,1.187501935,0.764285242,0.842173521,1.0573157,0.731880196,1.016653434,1.184983694,0.828878803,0.751933999,1.207275137,0.754524835,0.709228539,0.808013728,0.734871695,0.979491132,0.715099768,0.726661331,0.7672173,0.774146449,1.100039271,1.136424098,0.871090762,0.691700408,0.799796553,1.067256589,0.61880279,1.072755972,1.058502003,0.754524835,1.211838605,1.068397762,0.582444934,0.980463914,0.844926945,0.844926945,1.170591163,0.571347556,1.212472769,1.040907286,1.055332525,0.319620508,1.315107725,1.315107725,0.445048431,0.273137115,0.22041608,0.865357584,0.288299564,0.201745766,0.951170456,1.160835211,0.769866789,0.397133767,0.703281931,0.941295515,0.775275535,0.76309355,0.76309355,0.826096115,1.163265981,0.751008332,0.73032407,0.987269264,0.967965459
International Student Hostel Legon,1.328248365,1.810035429,1.184367438,2.226676577,1.242742916,1.373317498,1.139247247,1.714657136,1.60395363,1.592876497,1.616814853,1.688543254,1.1747583,1.595499731,1.12012846,1.292894457,1.367949826,1.700000085,1.693606424,1.323774008,1.160901728,0.119776369,0.950947038,0.846297779,0.914328724,1.158608837,0.879928283,0.767488324,0.827974756,0.769873782,0.596134698,1.395568796,0.302108199,0.325182079,0.650214323,8.23162117,2.135840953,2.135840953,2.100591799,2.514228392,0.119776369,0.501206067,0,1.406214869,2.636589544,4.046783911,2.945297416,1.848731343,1.875990524,1.906565573,1.036565027,1.366925307,1.467240254,1.391434055,1.141378176,1.499705398,1.619995325,1.256758896,1.236303981,1.541120345,1.232455831,1.347578332,1.659779456,1.326590831,1.252040533,1.685958217,1.12896486,1.144613112,1.277326605,1.231838304,1.440371697,1.103074536,1.138447316,1.264892204,1.273803788,1.541565266,1.491228873,1.137142951,1.126454595,1.219909936,1.53932818,1.115512024,1.570385676,1.402616295,1.12896486,1.710951877,1.564078015,1.077372663,1.449906255,1.129229489,1.129229489,1.612590941,1.066475716,1.705793538,1.408601807,1.45650248,0.820591122,1.804335408,1.804335408,0.93733766,0.755963959,0.425403342,1.350011905,0.213494756,0.309968227,0.595250026,1.597600921,1.013543722,0.161087285,0.316635299,0.699761821,0.415625917,0.63725987,0.63725987,1.323774008,1.547841336,1.231956694,1.209808164,0.627147194,1.452670147
International Student Hostel 2 Legon,0.590611319,0.409646585,0.278927969,0.901975601,0.596725451,0.202472693,0.27088058,0.312968136,0.810074108,0.196862002,0.715396586,0.556057003,0.243377998,0.868160171,0.828780768,0.268302799,0.959961406,1.484543709,0.336376394,0.599001438,0.662702107,1.396526507,0.782839191,0.86370909,0.866777497,0.376758849,0.582141711,0.683735383,0.616627292,0.782553047,0.831880361,0.762155878,1.697868225,1.728033098,2.017421078,9.579200395,0.729961919,0.729961919,0.699818777,2.510980733,1.396526507,1.006911876,1.406214869,0,1.234906742,5.444678164,1.543773251,0.442609773,0.472196678,0.524484839,0.833648104,0.350191297,0.578496822,0.026927342,0.266674392,0.134288966,0.250521497,0.532337932,0.169986069,0.480025152,0.76120989,0.237651321,0.468267481,0.599768162,0.778518714,0.511277577,0.280148927,0.312944902,0.358384058,0.836868117,0.290663409,0.303253442,0.280287166,0.598560494,0.638134932,0.22548097,0.200039789,0.442318229,0.327721366,0.213347532,0.389046522,0.830564472,0.659668028,0.199961927,0.280148927,0.763343526,0.623217319,0.8500726,0.345506739,0.407916939,0.407916939,0.274497986,0.611553209,0.660733705,0.119198397,0.050303951,0.799944523,0.677067267,0.677067267,0.656222363,0.955080603,1.223130414,0.451902503,1.220351485,1.122664348,1.523294388,1.399457386,0.52884499,1.248974536,1.421478818,1.35697098,1.42886824,1.139882718,1.139882718,0.599001438,0.161538161,0.4434764,0.441690977,1.982544329,0.462084033
